Valeur de n; Valeur de k; temps exec colorExact
10;3;0.032429
10;5;0.000146
10;6;0.028563
12;4;6.7e-05
12;6;0.008009
12;8;6.5e-05
14;4;0.186191
14;7;0.000131
14;9;1.07344
16;5;32.1088
16;8;0.009527
16;10;97.0816
18;6;477.787
18;9;9.11703
18;12;247.213
20;6;9042.61
20;10;0.000406
20;13;0.145422
Valeur de n; Valeur de k; temps exec DSAT
256;85;0.009659
256;128;0.008417
256;170;0.009129
512;170;0.036432
512;256;0.032904
512;341;0.036081
1024;341;0.169309
1024;512;0.138341
1024;682;0.151743
2048;682;0.64249
2048;1024;0.526072
2048;1365;0.575204
4096;1365;2.7638
4096;2048;2.11757
4096;2730;2.24179
8192;2730;11.8812
8192;4096;8.39102
8192;5461;9.24809
